CODE_CIRCONSCRIPTION;NOM_CIRCONSCRIPTION;NUMERO_CANDIDAT;SEXE_CANDIDAT;NOM_CANDIDAT;PRENOM_CANDIDAT;COLONNE_TRI;TYPE_CANDIDAT;ABREVIATION_PARTI;NOM_PARTI;DEPUTE_SORTANT;SEXE_AGENT_OFF;NOM_AGENT_OFF;PRENOM_AGENT_OFF;DATE
303;Bellechasse;97;F;Vien;Dominique;VIENDOMINIQUE;CPA;P.L.Q./Q.L.P.;Parti libéral du Québec/Quebec Liberal Party;O;F;Blouin;Lise;2014-03-22 20:00:01
353;Berthier;547;M;Baril;Pierre;BARILPIERRE;CPA;P.V.Q./G.P.Q.;Parti vert du Québec/Green Party of Québec;N;M;Mc Murray;Ken;2014-03-22 20:00:01
353;Berthier;185;F;Beaudry;Louise;BEAUDRYLOUISE;CPA;Q.S.;Québec solidaire;N;M;Tremblay;Alain;2014-03-22 20:00:01
353;Berthier;215;M;Bellerose;Pierre-Luc;BELLEROSEPIERRELUC;CPA;P.L.Q./Q.L.P.;Parti libéral du Québec/Quebec Liberal Party;N;M;Durand;Claude;2014-03-22 20:00:01
353;Berthier;325;M;Dupré;Claude;DUPRECLAUDE;CPA;M.P.Q.;Mon pays le Québec;N;F;Day;Louise;2014-03-22 20:00:01
353;Berthier;534;M;Lamarre;Francis;LAMARREFRANCIS;CPA;O.N. - P.I.Q.;Option nationale - Pour l'indépendance du Québec;N;M;Gauthier;Sylvain;2014-03-22 20:00:01
353;Berthier;98;F;Leclerc;Élizabeth;LECLERCELIZABETH;CPA;C.A.Q.-É.F.L.;Coalition avenir Québec - L'équipe François Legault;N;F;Savard;Nicole;2014-03-22 20:00:01
353;Berthier;565;M;Villeneuve;André;VILLENEUVEANDRE;CPA;P.Q.;Parti québécois;O;M;Boucher;Denis;2014-03-22 20:00:01
525;Bertrand;156;M;Cousineau;Claude;COUSINEAUCLAUDE;CPA;P.Q.;Parti québécois;O;M;Poudrier;Pierre;2014-03-22 20:00:01
525;Bertrand;913;M;Dubé;Patrick;DUBEPATRICK;CPA;P.N.;Parti nul;N;M;Guindon-Lorek;David;2014-03-22 20:00:01
525;Bertrand;519;F;Leblond;Isabelle;LEBLONDISABELLE;CPA;P.L.Q./Q.L.P.;Parti libéral du Québec/Quebec Liberal Party;N;M;St-Amour;Laurent;2014-03-22 20:00:01
525;Bertrand;897;F;Massicotte;Diane;MASSICOTTEDIANE;CPA;O.N. - P.I.Q.;Option nationale - Pour l'indépendance du Québec;N;M;Gauthier;Sylvain;2014-03-22 20:00:01
525;Bertrand;865;F;Mayer;Lucie;MAYERLUCIE;CPA;Q.S.;Québec solidaire;N;M;Tremblay;Alain;2014-03-22 20:00:01
525;Bertrand;663;M;Milot;Robert;MILOTROBERT;CPA;C.A.Q.-É.F.L.;Coalition avenir Québec - L'équipe François Legault;N;F;Savard;Nicole;2014-03-22 20:00:01
525;Bertrand;941;M;Roy;Mario;ROYMARIO;CIA;;;N;F;Laporte;Jyna;2014-03-22 20:00:01
473;Blainville;444;F;Collin;Marie-Claude;COLLINMARIECLAUDE;CPA;P.L.Q./Q.L.P.;Parti libéral du Québec/Quebec Liberal Party;N;F;Lebeau;Geneviève;2014-03-22 20:00:01
473;Blainville;409;F;Desrosiers;Gyslaine;DESROSIERSGYSLAINE;CPA;P.Q.;Parti québécois;N;M;Imboden;Jurg;2014-03-22 20:00:01
473;Blainville;470;M;Fournier;Jean Philippe;FOURNIERJEANPHILIPPE;CPA;É.A.P. - P.C.Q.;Équipe Adrien Pouliot - Parti conservateur du Québec;N;M;Verville;Marc;2014-03-22 20:00:01
473;Blainville;416;F;Giguère;Annie;GIGUEREANNIE;CPA;Q.S.;Québec solidaire;N;M;Tremblay;Alain;2014-03-22 20:00:01
473;Blainville;657;M;Laframboise;Mario;LAFRAMBOISEMARIO;CPA;C.A.Q.-É.F.L.;Coalition avenir Québec - L'équipe François Legault;N;F;Savard;Nicole;2014-03-22 20:00:01
713;Bonaventure;579;M;Arsenault;Damien;ARSENAULTDAMIEN;CPA;P.L.Q./Q.L.P.;Parti libéral du Québec/Quebec Liberal Party;N;M;Sexton;Louis;2014-03-22 20:00:01
